name,match,synonym(s),cultivar,ipen,metadata (line rest),metadata (next lines),raw
Echinopsis thelegona,1,,,AR-0-DR-010571,10571 (Web.) Friedrich et G.D. Rowley ,[],10571  Echinopsis thelegona (Web.) Friedrich et G.D. Rowley AR-0-DR-010571
Neobuxbaumia euphorbioides Buxb,1,,,xx-0-DR-004917,4917 ,[],4917 Neobuxbaumia euphorbioides Buxb. xx-0-DR-004917
Parodia magnifica,1,,,xx-0-DR-009776,9776 (F. Ritter) F.H. Brandt ,[],9776  Parodia magnifica (F. Ritter) F.H. Brandt xx-0-DR-009776
Parodia mammulosa Lem NP Taylor,1,,,xx-0-DR-011595,11595 ,[],11595 Parodia mammulosa (Lem.) N.P. Taylor xx-0-DR-011595
Pilosocereus leucocephalus,1,,,xx-0-DR-006574,6574 (Poselg.) R.S. Byles et G.D. Rowl. ,[],6574 Pilosocereus leucocephalus (Poselg.) R.S. Byles et G.D. Rowl. xx-0-DR-006574
Selenicereus grandiflorus,1,,,xx-0-DR-008170,8170 (L.) Britt. et Rose ,[],8170 Selenicereus grandiflorus (L.) Britt. et Rose xx-0-DR-008170
Azorina vidalii,1,,,xx-0-DATH-2831,17611 (H.C. Watson) Feer ,[],17611 Azorina vidalii (H.C. Watson) Feer xx-0-DATH-2831
Canarina canariensis L Vatke,1,,,ES-0-DR-000574,574 ,[],574  Canarina canariensis (L.) Vatke ES-0-DR-000574
Iphigenia robusta Baker,1,,,MG-0-DR-017621,17621 ,['11'],17621  Iphigenia robusta Baker MG-0-DR-017621
Ipomoea nil L Roth,1,,,xx-0-DR-003913,3913 ,[],3913 Ipomoea nil (L.) Roth xx-0-DR-003913
Cornus capitata Wall,1,,,xx-0-DR-000729,729 ,[],729 Cornus capitata Wall. xx-0-DR-000729
Davidsonia pruriens,1,,,xx-0-DR-015574,15574 F. Muell. ,[],15574 Davidsonia pruriens F. Muell. xx-0-DR-015574
Dionaea muscipula Ellis,1,,,US-0-DR-014394,14394 ,[],14394  Dionaea muscipula Ellis US-0-DR-014394
Dalechampia spathulata Scheidw Baill,1,,,xx-0-DR-001690,1690 ,[],1690 Dalechampia spathulata (Scheidw.) Baill. xx-0-DR-001690
Jatropha multifida L,1,,,xx-0-DR-017772,17772 ,[],17772 Jatropha multifida L. xx-0-DR-017772
